code,date,open,close,high,low,volume
SH.688122,2021-02-26 14:00:00,60.95,60.48,61.28,60.01,630100.0
SH.688122,2021-02-26 14:30:00,60.48,60.66,61.0,60.29,455600.0
SH.688122,2021-02-26 15:00:00,60.67,59.84,60.69,59.84,611500.0
SH.688122,2021-03-01 10:00:00,60.01,61.6,62.0,60.01,1318700.0
SH.688122,2021-03-01 10:30:00,61.6,61.72,61.99,61.18,556500.0
SH.688122,2021-03-01 11:00:00,61.7,61.3,62.0,61.16,307200.0
SH.688122,2021-03-01 11:30:00,61.3,61.91,62.0,60.72,436100.0
SH.688122,2021-03-01 13:30:00,61.92,61.83,62.45,61.53,523900.0
SH.688122,2021-03-01 14:00:00,61.65,61.63,62.0,61.61,226000.0
SH.688122,2021-03-01 14:30:00,61.61,61.62,61.97,61.57,242700.0
SH.688122,2021-03-01 15:00:00,61.6,61.9,61.9,61.44,414900.0
SH.688122,2021-03-02 10:00:00,62.61,60.78,62.85,60.7,865000.0
SH.688122,2021-03-02 10:30:00,60.76,60.99,61.11,60.1,751900.0
SH.688122,2021-03-02 11:00:00,60.97,60.38,61.26,60.27,428800.0
SH.688122,2021-03-02 11:30:00,60.36,60.53,60.89,60.06,354600.0
SH.688122,2021-03-02 13:30:00,60.52,59.78,60.56,59.2,810900.0
SH.688122,2021-03-02 14:00:00,59.52,59.64,59.97,59.2,708800.0
SH.688122,2021-03-02 14:30:00,59.65,60.0,60.34,59.53,354200.0
SH.688122,2021-03-02 15:00:00,60.03,60.08,60.23,59.74,398100.0
SH.688122,2021-03-03 10:00:00,60.41,60.75,61.35,60.1,691700.0
SH.688122,2021-03-03 10:30:00,60.7,60.05,60.76,59.81,334900.0
SH.688122,2021-03-03 11:00:00,60.06,60.42,60.81,60.05,447900.0
SH.688122,2021-03-03 11:30:00,60.47,60.93,60.97,60.45,352400.0
SH.688122,2021-03-03 13:30:00,60.9,60.65,60.94,60.51,297000.0
SH.688122,2021-03-03 14:00:00,60.65,60.9,60.9,60.52,210300.0
SH.688122,2021-03-03 14:30:00,60.9,60.82,60.92,60.7,333400.0
SH.688122,2021-03-03 15:00:00,60.89,60.66,60.89,60.62,375200.0
SH.688122,2021-03-04 10:00:00,60.13,60.25,60.8,59.33,890200.0
SH.688122,2021-03-04 10:30:00,60.12,59.2,60.2,59.2,761900.0
SH.688122,2021-03-04 11:00:00,59.13,58.88,59.13,58.58,774900.0
SH.688122,2021-03-04 11:30:00,58.9,59.12,59.33,58.53,472100.0
SH.688122,2021-03-04 13:30:00,59.12,58.28,59.36,58.23,391400.0
SH.688122,2021-03-04 14:00:00,58.35,57.03,58.35,56.53,1060000.0
SH.688122,2021-03-04 14:30:00,57.0,57.0,57.2,56.66,835800.0
SH.688122,2021-03-04 15:00:00,57.0,56.8,57.2,56.8,730300.0
SH.688122,2021-03-05 10:00:00,55.85,55.6,56.0,54.16,1207000.0
SH.688122,2021-03-05 10:30:00,55.5,56.85,57.19,55.5,486100.0
SH.688122,2021-03-05 11:00:00,56.8,56.72,56.95,56.56,224300.0
SH.688122,2021-03-05 11:30:00,56.72,56.02,56.98,55.8,266800.0
SH.688122,2021-03-05 13:30:00,55.86,55.66,56.03,55.51,182900.0
SH.688122,2021-03-05 14:00:00,55.66,56.29,56.49,55.65,177100.0
SH.688122,2021-03-05 14:30:00,56.39,55.88,56.47,55.88,255000.0
SH.688122,2021-03-05 15:00:00,55.92,55.2,55.97,55.0,681300.0
SH.688122,2021-03-08 10:00:00,55.68,52.85,55.88,52.3,2505900.0
SH.688122,2021-03-08 10:30:00,52.89,52.67,53.44,52.31,990200.0
SH.688122,2021-03-08 11:00:00,52.67,51.0,53.15,50.68,1103800.0
SH.688122,2021-03-08 11:30:00,51.0,50.19,51.1,49.71,2072100.0
SH.688122,2021-03-08 13:30:00,50.19,49.19,50.59,49.06,1207100.0
SH.688122,2021-03-08 14:00:00,49.19,49.25,49.83,48.9,1543300.0
SH.688122,2021-03-08 14:30:00,49.24,48.93,49.48,48.03,1400300.0
SH.688122,2021-03-08 15:00:00,49.06,48.09,49.2,48.08,1371200.0
SH.688122,2021-03-09 10:00:00,48.54,44.43,48.54,44.18,2018200.0
SH.688122,2021-03-09 10:30:00,44.61,46.31,46.76,44.56,1542600.0
SH.688122,2021-03-09 11:00:00,46.43,46.52,46.64,45.67,742700.0
SH.688122,2021-03-09 11:30:00,46.52,47.27,47.27,46.29,504000.0
SH.688122,2021-03-09 13:30:00,47.28,47.18,47.57,46.91,417000.0
SH.688122,2021-03-09 14:00:00,47.2,46.84,47.35,46.5,277100.0
SH.688122,2021-03-09 14:30:00,46.83,45.5,46.83,45.5,376800.0
SH.688122,2021-03-09 15:00:00,45.5,45.77,46.25,45.5,535300.0
SH.688122,2021-03-10 10:00:00,47.0,46.22,47.3,45.83,1196200.0
SH.688122,2021-03-10 10:30:00,46.14,46.12,46.41,45.58,593500.0
SH.688122,2021-03-10 11:00:00,46.1,46.11,46.35,45.6,219900.0
SH.688122,2021-03-10 11:30:00,46.11,46.08,46.35,45.87,302000.0
SH.688122,2021-03-10 13:30:00,46.08,45.69,46.13,45.58,433500.0
SH.688122,2021-03-10 14:00:00,45.74,45.91,46.0,45.53,299900.0
SH.688122,2021-03-10 14:30:00,45.91,45.69,46.14,45.62,523700.0
SH.688122,2021-03-10 15:00:00,45.69,45.6,45.81,45.1,449700.0
SH.688122,2021-03-11 10:00:00,45.97,46.86,46.96,45.56,1299300.0
SH.688122,2021-03-11 10:30:00,46.87,47.4,47.49,46.66,822500.0
SH.688122,2021-03-11 11:00:00,47.45,47.2,47.45,46.91,402600.0
SH.688122,2021-03-11 11:30:00,47.2,47.31,47.6,47.05,349000.0
SH.688122,2021-03-11 13:30:00,47.27,47.48,47.97,47.22,477200.0
SH.688122,2021-03-11 14:00:00,47.48,47.76,47.85,47.36,206600.0
SH.688122,2021-03-11 14:30:00,47.78,47.64,48.26,47.62,829100.0
SH.688122,2021-03-11 15:00:00,47.63,47.88,47.93,47.63,468100.0
SH.688122,2021-03-12 10:00:00,48.48,47.48,48.69,47.4,918200.0
SH.688122,2021-03-12 10:30:00,47.57,47.4,47.91,47.22,303900.0
SH.688122,2021-03-12 11:00:00,47.39,46.7,47.39,46.56,761900.0
SH.688122,2021-03-12 11:30:00,46.79,46.75,47.0,46.26,819600.0
SH.688122,2021-03-12 13:30:00,46.88,47.1,47.14,46.6,389700.0
SH.688122,2021-03-12 14:00:00,47.1,47.05,47.25,46.8,218100.0
SH.688122,2021-03-12 14:30:00,47.05,46.93,47.38,46.9,312700.0
SH.688122,2021-03-12 15:00:00,47.04,47.18,47.3,46.84,456400.0
SH.688122,2021-03-15 10:00:00,47.5,46.6,47.5,46.16,752600.0
SH.688122,2021-03-15 10:30:00,46.73,48.0,48.15,46.59,642400.0
SH.688122,2021-03-15 11:00:00,48.0,47.86,48.06,47.53,378200.0
SH.688122,2021-03-15 11:30:00,47.86,47.38,47.87,46.92,275700.0
SH.688122,2021-03-15 13:30:00,47.23,47.2,47.24,46.64,343600.0
SH.688122,2021-03-15 14:00:00,47.26,46.85,47.56,46.7,482200.0
SH.688122,2021-03-15 14:30:00,46.72,46.81,47.12,46.34,366300.0
SH.688122,2021-03-15 15:00:00,46.82,47.0,47.2,46.5,293600.0
SH.688122,2021-03-16 10:00:00,47.31,48.43,49.16,46.88,1547000.0
SH.688122,2021-03-16 10:30:00,48.44,47.7,48.78,47.7,436300.0
SH.688122,2021-03-16 11:00:00,47.7,47.71,47.85,47.48,289100.0
SH.688122,2021-03-16 11:30:00,47.69,47.57,48.07,47.57,252600.0
SH.688122,2021-03-16 13:30:00,47.68,47.23,47.68,47.13,212300.0
SH.688122,2021-03-16 14:00:00,47.23,47.15,47.71,47.06,330600.0
SH.688122,2021-03-16 14:30:00,47.18,47.01,47.35,46.91,278700.0
SH.688122,2021-03-16 15:00:00,47.06,47.13,47.38,46.67,355500.0
SH.688122,2021-03-17 10:00:00,47.35,47.16,47.35,45.6,962600.0
SH.688122,2021-03-17 10:30:00,47.2,47.31,47.7,47.0,372700.0
SH.688122,2021-03-17 11:00:00,47.32,47.14,47.68,47.13,244500.0
SH.688122,2021-03-17 11:30:00,47.12,47.24,47.4,46.74,324500.0
SH.688122,2021-03-17 13:30:00,47.17,47.31,47.4,46.98,253700.0
SH.688122,2021-03-17 14:00:00,47.3,47.88,48.04,47.0,492200.0
SH.688122,2021-03-17 14:30:00,47.88,48.12,48.2,47.68,308500.0
SH.688122,2021-03-17 15:00:00,48.18,48.08,48.3,47.75,362800.0
SH.688122,2021-03-18 10:00:00,48.3,49.18,49.75,47.82,1160600.0
SH.688122,2021-03-18 10:30:00,49.01,49.81,50.98,49.01,1529900.0
